,total_counts,area,time,D (um^2/s),alpha (1/s)
239,429.56773190101086,378689,37.0,0.0035,0.0042
240,429.56790250149663,376923,38.0,0.0035,0.0042
241,429.56784012380706,375147,39.0,0.0035,0.0042
242,429.56793410327197,373376,40.0,0.0035,0.0042
243,429.567974412372,371622,41.0,0.0035,0.0042
244,429.56798874098763,369869,42.0,0.0035,0.0042
245,429.56782568433914,368121,43.0,0.0035,0.0042
246,429.56800899254006,366366,44.0,0.0035,0.0042
247,429.5679248229279,364609,45.0,0.0035,0.0042
248,429.5678452602386,362868,46.0,0.0035,0.0042
249,429.56801845039445,361148,47.0,0.0035,0.0042
250,429.56796915968334,359436,48.0,0.0035,0.0042
251,429.56773982593694,357735,49.0,0.0035,0.0042
252,429.5677791218108,356015,50.0,0.0035,0.0042
253,429.56783370152016,354297,51.0,0.0035,0.0042
254,429.56799720074184,352601,52.0,0.0035,0.0042
255,429.5677443972704,350917,53.0,0.0035,0.0042
256,429.56781121303226,349246,54.0,0.0035,0.0042
257,429.5678914345919,347590,55.0,0.0035,0.0042
258,429.56778766820423,345910,56.0,0.0035,0.0042
259,429.5677692106736,344238,57.0,0.0035,0.0042
260,429.5678156496711,342588,58.0,0.0035,0.0042
261,429.56793702780425,340945,59.0,0.0035,0.0042
262,429.5679866812983,339321,60.0,0.0035,0.0042
263,429.56795846151437,337707,61.0,0.0035,0.0042
264,429.5677861827276,336070,62.0,0.0035,0.0042
265,429.5678322303118,334451,63.0,0.0035,0.0042
266,429.56782541768524,332843,64.0,0.0035,0.0042
267,429.5678758726258,331244,65.0,0.0035,0.0042
268,429.5677629198697,329670,66.0,0.0035,0.0042
269,429.56801441070445,328095,67.0,0.0035,0.0042
270,429.5679218398867,326509,68.0,0.0035,0.0042
271,429.56798730766053,324939,69.0,0.0035,0.0042
272,429.5678175538169,323372,70.0,0.0035,0.0042
273,429.5679890273048,321827,71.0,0.0035,0.0042
274,429.5679748921986,320294,72.0,0.0035,0.0042
275,429.5679596380519,318763,73.0,0.0035,0.0042
276,429.56797783169446,317231,74.0,0.0035,0.0042
277,429.56796803598974,315701,75.0,0.0035,0.0042
278,429.5678050890689,314187,76.0,0.0035,0.0042
279,429.56800793308463,312687,77.0,0.0035,0.0042
280,429.56776513875803,311196,78.0,0.0035,0.0042
281,429.5680123699293,309719,79.0,0.0035,0.0042
282,429.5679861239676,308227,80.0,0.0035,0.0042
283,429.5677778584234,306749,81.0,0.0035,0.0042
284,429.5677577700731,305282,82.0,0.0035,0.0042
285,429.5679685673433,303825,83.0,0.0035,0.0042
286,429.56771754539193,302387,84.0,0.0035,0.0042
287,429.5678874063555,300948,85.0,0.0035,0.0042
288,429.5677286738207,299509,86.0,0.0035,0.0042
289,429.5678292285799,298077,87.0,0.0035,0.0042
290,429.5678176112491,296655,88.0,0.0035,0.0042
291,429.5677416113072,295249,89.0,0.0035,0.0042
292,429.5678521346555,293851,90.0,0.0035,0.0042
293,429.567809124171,292464,91.0,0.0035,0.0042
294,429.5679980566305,291068,92.0,0.0035,0.0042
295,429.5677414618363,289684,93.0,0.0035,0.0042
296,429.56784771409133,288310,94.0,0.0035,0.0042
297,429.567820184645,286946,95.0,0.0035,0.0042
298,429.56794721964513,285599,96.0,0.0035,0.0042
299,429.567920222584,284251,97.0,0.0035,0.0042
300,429.56801653162694,282907,98.0,0.0035,0.0042
301,429.56778425726117,281565,99.0,0.0035,0.0042
302,429.56778719023555,280239,100.0,0.0035,0.0042
303,429.9974679338987,443016,0.0,0.0075,0.0042
304,429.56758225035094,443147,1.0,0.0075,0.0042
305,429.5674761837968,443995,2.0,0.0075,0.0042
306,429.5678566875356,444671,3.0,0.0075,0.0042
307,429.56776220159855,445214,4.0,0.0075,0.0042
308,429.5675697726255,445614,5.0,0.0075,0.0042
309,429.5676654210173,445878,6.0,0.0075,0.0042
310,429.5675750116665,446015,7.0,0.0075,0.0042
311,429.5677375821181,446053,8.0,0.0075,0.0042
